MedicineName,Category,Date,UnitsSold
Paracetamol 500mg,Analgesic,2026-01-01,46
Paracetamol 500mg,Analgesic,2026-01-02,41
Paracetamol 500mg,Analgesic,2026-01-03,39
Paracetamol 500mg,Analgesic,2026-01-04,62
Paracetamol 500mg,Analgesic,2026-01-05,50
Paracetamol 500mg,Analgesic,2026-01-06,45
Paracetamol 500mg,Analgesic,2026-01-07,47
Paracetamol 500mg,Analgesic,2026-01-08,50
Paracetamol 500mg,Analgesic,2026-01-09,50
Paracetamol 500mg,Analgesic,2026-01-10,53
Paracetamol 500mg,Analgesic,2026-01-11,53
Paracetamol 500mg,Analgesic,2026-01-12,51
Paracetamol 500mg,Analgesic,2026-01-13,58
Paracetamol 500mg,Analgesic,2026-01-14,57
Paracetamol 500mg,Analgesic,2026-01-15,29
Paracetamol 500mg,Analgesic,2026-01-16,46
Paracetamol 500mg,Analgesic,2026-01-17,39
Paracetamol 500mg,Analgesic,2026-01-18,37
Paracetamol 500mg,Analgesic,2026-01-19,27
Paracetamol 500mg,Analgesic,2026-01-20,44
Paracetamol 500mg,Analgesic,2026-01-21,33
Paracetamol 500mg,Analgesic,2026-01-22,35
Paracetamol 500mg,Analgesic,2026-01-23,35
Paracetamol 500mg,Analgesic,2026-01-24,38
Paracetamol 500mg,Analgesic,2026-01-25,31
Paracetamol 500mg,Analgesic,2026-01-26,33
Paracetamol 500mg,Analgesic,2026-01-27,35
Paracetamol 500mg,Analgesic,2026-01-28,41
Paracetamol 500mg,Analgesic,2026-01-29,37
Paracetamol 500mg,Analgesic,2026-01-30,40
Paracetamol 500mg,Analgesic,2026-01-31,38
Paracetamol 500mg,Analgesic,2026-02-01,40
Paracetamol 500mg,Analgesic,2026-02-02,53
Paracetamol 500mg,Analgesic,2026-02-03,59
Paracetamol 500mg,Analgesic,2026-02-04,48
Paracetamol 500mg,Analgesic,2026-02-05,54
Paracetamol 500mg,Analgesic,2026-02-06,45
Paracetamol 500mg,Analgesic,2026-02-07,50
Paracetamol 500mg,Analgesic,2026-02-08,50
Paracetamol 500mg,Analgesic,2026-02-09,62
Paracetamol 500mg,Analgesic,2026-02-10,53
Paracetamol 500mg,Analgesic,2026-02-11,41
Paracetamol 500mg,Analgesic,2026-02-12,34
Paracetamol 500mg,Analgesic,2026-02-13,40
Paracetamol 500mg,Analgesic,2026-02-14,46
Paracetamol 500mg,Analgesic,2026-02-15,45
Paracetamol 500mg,Analgesic,2026-02-16,45
Paracetamol 500mg,Analgesic,2026-02-17,26
Paracetamol 500mg,Analgesic,2026-02-18,40
Paracetamol 500mg,Analgesic,2026-02-19,35
Paracetamol 500mg,Analgesic,2026-02-20,37
Paracetamol 500mg,Analgesic,2026-02-21,37
Paracetamol 500mg,Analgesic,2026-02-22,47
Paracetamol 500mg,Analgesic,2026-02-23,39
Paracetamol 500mg,Analgesic,2026-02-24,33
Paracetamol 500mg,Analgesic,2026-02-25,36
Paracetamol 500mg,Analgesic,2026-02-26,29
Paracetamol 500mg,Analgesic,2026-02-27,30
Paracetamol 500mg,Analgesic,2026-02-28,26
Paracetamol 500mg,Analgesic,2026-03-01,32
Paracetamol 500mg,Analgesic,2026-03-02,47
Paracetamol 500mg,Analgesic,2026-03-03,39
Paracetamol 500mg,Analgesic,2026-03-04,50
Paracetamol 500mg,Analgesic,2026-03-05,57
Paracetamol 500mg,Analgesic,2026-03-06,52
Paracetamol 500mg,Analgesic,2026-03-07,55
Paracetamol 500mg,Analgesic,2026-03-08,46
Paracetamol 500mg,Analgesic,2026-03-09,52
Paracetamol 500mg,Analgesic,2026-03-10,62
Paracetamol 500mg,Analgesic,2026-03-11,45
Paracetamol 500mg,Analgesic,2026-03-12,58
Paracetamol 500mg,Analgesic,2026-03-13,61
Paracetamol 500mg,Analgesic,2026-03-14,51
Paracetamol 500mg,Analgesic,2026-03-15,36
Paracetamol 500mg,Analgesic,2026-03-16,47
Paracetamol 500mg,Analgesic,2026-03-17,42
Paracetamol 500mg,Analgesic,2026-03-18,43
Paracetamol 500mg,Analgesic,2026-03-19,43
Paracetamol 500mg,Analgesic,2026-03-20,31
Paracetamol 500mg,Analgesic,2026-03-21,29
Paracetamol 500mg,Analgesic,2026-03-22,33
Paracetamol 500mg,Analgesic,2026-03-23,26
Paracetamol 500mg,Analgesic,2026-03-24,33
Paracetamol 500mg,Analgesic,2026-03-25,32
Paracetamol 500mg,Analgesic,2026-03-26,50
Paracetamol 500mg,Analgesic,2026-03-27,27
Paracetamol 500mg,Analgesic,2026-03-28,30
Paracetamol 500mg,Analgesic,2026-03-29,39
Paracetamol 500mg,Analgesic,2026-03-30,44
Paracetamol 500mg,Analgesic,2026-03-31,55
